synset	label	lemma
01874434-n	X	marsupialia
01874434-n	X	marsupiall
01874434-n	X	marsupilia
01875165-n	O	Didelphis
01875295-v	O	bergempa
01875295-v	O	bergoyah
01875295-v	O	bergoyang-goyang
01875295-v	O	gayun
01875295-v	O	menggoyang-goyangkan
01875295-v	O	mengopyok
01876028-v	O	bergoyang-goyang
01876028-v	O	gayun
01876907-v	O	berguncang
01877134-n	O	kanguru
01877204-v	O	berfluktuasi
01877204-v	O	berguncang
01877355-v	O	bergoyang-goyang
01877355-v	O	gayun
01877355-v	O	menggoyang-goyangkan
01877812-n	X	wallaby
01878719-v	O	bekerlip
01878719-v	O	bergeleparan
01878719-v	O	gigil
01878719-v	O	meliuk-liuk
01878719-v	O	mengelip-ngelip
01878719-v	X	tergetar
01879251-v	O	berdampung-dampung
01879251-v	O	mendetak
01879251-v	O	mengentak-entak
01879579-v	O	mengentak-entak
01879579-v	O	menggenjot
01879579-v	X	tergetar
01879928-v	O	berdenyut-denyut
01879928-v	O	bergeleparan
01880113-v	O	mengentak-entakkan
01880113-v	O	menggenjot
01880113-v	O	menghantam
01880390-v	O	merangket
01880473-n	X	potoroo
01880531-a	O	salah roman
01880531-a	O	salah rupa
01880531-a	O	sembrono
01880531-a	X	tidak siku-siku
01880888-v	O	menggelepar-geleparkan
01880888-v	X	menggelebar
01881034-v	O	menjungkat-jungkit
01881171-n	X	phalanger
01881180-v	O	bergelayangan
01881180-v	O	berlanglang
01881180-v	O	kembara
01881180-v	O	melayang-layang
01881180-v	O	mengecor
01881180-v	O	mengimbak-imbak
01881180-v	O	rayau
01881180-v	O	umbara
01881180-v	X	berpetualang
01881564-n	O	kuskus
01881696-a	O	profetik
01882814-v	O	bergelayangan
01882814-v	O	berlanglang
01882814-v	O	melayang-layang
01882814-v	O	memilin-milin
01882814-v	O	mendangkar
01883070-n	O	wombat
01883344-v	O	mengisarkan
01883716-v	O	geledah
01883716-v	O	melompat-lompat
01884126-v	O	memalsu
01884266-v	O	memalsu
01884348-n	O	Thylacinus
01884476-n	X	harimau tassie
01884476-n	X	harimau tazzy
01884476-n	X	serigala tasmania
01884476-n	X	thylacinus cynocephalus
01884834-n	O	Setan Tasmania
01884974-v	O	bergoyang-goyang
01884974-v	O	mengisarkan
01885430-v	O	berkisar-kisar
01885845-v	O	rangkak
01886220-n	O	Eutheria
01886488-v	O	menggelecik
01886488-v	O	tergelangsar
01886488-v	O	tergelecik
01887076-a	O	protektif
01887474-n	X	cattle
01887474-n	X	hewan ternak
01887787-n	X	betina dewasa mamalia
01887896-n	O	pedet
01887896-n	X	ijil
01888295-v	O	menggelecik
01888295-v	O	tergelangsar
01888295-v	O	tergelecik
01888295-v	O	tergelicik
01888511-v	O	gelentar
01888511-v	O	geletar
01888511-v	O	gemetar
01888511-v	O	gigil
01888511-v	O	menggigis
01888511-v	X	tergetar
01888784-v	O	bergempa
01888946-v	O	berdampung-dampung
01888946-v	O	mendetak
01888946-v	O	mengentak-entak
01888946-v	O	menggigis
01889129-v	O	bergempa
01889129-v	O	gigil
01889129-v	X	tergetar
01889256-a	O	agul
01889256-a	O	besar hidung
01889256-a	O	mangkak
01889392-v	O	berdenyut-denyut
01889520-n	O	tikus tanah
01889610-v	O	bergempa
01889610-v	O	bergoyang-goyang
01889610-v	O	berguncang
01889610-v	O	berkucak
01889610-v	O	menggeleng-gelengkan
01889610-v	O	menggerak-gerakkan
01889610-v	O	mengguncangkan
01889610-v	O	mengisarkan
01889610-v	O	mengopyok
01890792-v	O	menggapai-gapai
01890792-v	O	merangket
01891092-v	O	mencambuki
01891638-v	O	bergempa
01891638-v	O	bergoyang-goyang
01891638-v	O	menggeleng-gelengkan
01891638-v	O	menggerak-gerakkan
01891638-v	O	mengopyok
01892104-v	O	ambul
01892104-v	O	mengumandang
01892608-v	O	ambul
01893825-n	X	erinaceinae
01893988-v	O	menggairahkan
01893988-v	O	mengisarkan
01894164-v	O	menggairahkan
01894320-v	O	kincah
01894320-v	O	menggairahkan
01894649-v	O	berkanjar
01894649-v	O	berlenso
01894649-v	O	gengsot
01895383-v	O	berdampak
01895735-n	O	kulit bulu
01896484-v	O	membobolkan
01897378-a	O	merangsangkan
01897607-a	O	merangsangkan
01897885-v	O	merangket
01898282-v	O	bergoyang-goyang
01898282-v	O	menggerak-gerakkan
01898282-v	O	menggoyang-goyangkan
01898592-v	O	bergoyang-goyang
01898592-v	O	menggoyang-goyangkan
01899017-v	O	panggil
01899891-v	O	bergeleparan
01900255-v	O	bergeleparan
01900408-v	O	berpesiar
01900408-v	O	gerupuk
01900408-v	O	serimpet
01900760-v	O	berpesiar
01901783-v	O	menggelepar-geleparkan
01901783-v	X	menggelebar
01902126-v	O	berseliweran
01902783-v	O	melayang-layang
01902783-v	O	membabas
01902783-v	O	mengimbak-imbak
01902783-v	O	menyia-nyiakan
01902783-v	X	mengombag-ambingkan
01904120-v	O	memensiunkan
01904293-v	O	rapung
01904795-v	X	mencegah tenggelam
01905653-a	X	bersih hati
01905653-a	X	pentahiran
01905653-a	X	tahara
01905661-n	O	avertebrata
01905661-n	O	invertebrata
01905661-n	X	binatang tak bertulang belakang
01905661-n	X	binatang tanpa tulang belakang
01905661-n	X	binatang tidak bertulang belakang
01905661-n	X	evertebrata
01905661-n	X	hewan tak bertulang belakang
01905661-n	X	hewan tanpa tulang belakang
01905661-n	X	hewan tidak bertulang belakang
01906552-n	O	Porifera
01906552-n	O	Sponge
01906552-n	O	Spons
01906552-n	X	Hewan berpori
01907076-v	O	menyentuh-nyentuh
01907258-v	X	melenceng
01907258-v	X	membelengkokan
01909111-n	O	Cnidaria
01909111-n	O	Coelenterata
01909111-n	X	Hewan berongga
01909397-v	O	mengubrak-abrik
01909397-v	X	membolak-balik
01909812-v	X	melenceng
01909812-v	X	membelengkokan
01909978-v	O	bertelinga merah
01909978-v	O	mengisruhkan
01909978-v	O	mengubrak-abrik
01909978-v	O	terharu biru
01909978-v	X	membolak-balik
01910373-v	O	berawal
01910373-v	O	doncang
01910373-v	O	peranjat
01911511-n	O	Hydrozoa
01912159-v	O	membahas
01912159-v	O	membelongsongi
01912159-v	O	mengarungi
01912159-v	O	menggelimangi
01912159-v	X	mengkover
01913237-v	O	menyilang
01913532-v	O	berinfiltrasi
01913532-v	O	menyelundup
01913532-v	O	menyelundupkan
01913707-v	O	berinfiltrasi
01913707-v	O	menyelundup
01913707-v	O	menyelundupkan
01913838-n	O	Anthozoa
01914453-v	X	berdesak-desakkan
01914609-n	X	anemon laut
01914657-v	O	mengarungi
01915131-v	O	menjembatani
01915365-v	O	menerombol
01915865-v	X	mencari jalan pintas
01917244-v	O	berjalan pincang
01917549-v	O	berhantam
01917845-v	O	menghela
01918803-v	O	bergoyang-goyang
01918803-v	X	mengguncang
01918984-a	O	ayem
01919042-v	O	bergentayangan
01919504-n	O	Tentaculata
01919931-a	O	ingar-ingar
01921591-v	O	menciprat
01921591-v	X	bergemercak
01921591-v	X	bergemericik
01921964-v	O	meloncer
01921964-v	O	membubung
01921964-v	O	panjat
01923171-n	O	Acanthocephala
01923171-n	O	Cacing kerawit
01923171-n	X	Cacing usus
01923909-v	O	panjat
01924148-v	O	mengendap-endap
01924316-a	O	acak
01924316-a	O	awuran
01924505-v	O	berparade
01924505-v	X	berkonvoi
01924505-v	X	mempertunjukan
01924712-v	O	bergaya-gaya
01924712-v	O	berparade
01924712-v	O	memamerkan
01924712-v	O	memperlihatkan
01924712-v	X	berkonvoi
01924916-n	X	platyhelmintes
01924916-n	X	platyhelminthes
01925133-n	O	Turbellaria
01925133-n	X	Cacing berambut getar
01925170-v	O	bergeleparan
01925338-v	O	mengenyak
01925338-v	O	merekamkan
01925338-v	O	rekam
01925338-v	X	menyetempel
01925469-n	O	Trematoda
01925548-v	O	mengentak-entakkan
01925548-v	O	menghantam
01925694-v	O	melayang-layang
01925694-v	O	mengimbak-imbak
01925695-n	O	trematoda
01925695-n	X	cacing isap
01926311-v	O	membelandangkan
01926311-v	X	buang belakang
01926311-v	X	buang langkah
01926311-v	X	mengambil langkah seribu
01926311-v	X	mengangkat ekor
01926379-n	X	fasciola hepatica
01927301-n	O	Cacing pita
01927455-a	O	serebral
01928360-n	O	Nemertea
01928838-v	O	memijak
01929467-v	O	memijak
01929467-v	O	pijak
01929927-v	O	mengiris
01930112-n	O	nematoda
01930117-v	X	naik motor
01930482-v	O	meluwengkan
01930874-v	O	mendongkolkan
01931398-n	X	Cacing kremi
01931768-v	O	bermanuver
01931768-v	O	mengempu
01932936-n	X	trichinella spiralis
01934207-n	O	Anelida
01934440-n	X	annelida
01935012-n	O	Oligochaeta
01935176-n	X	oligochaeta
01935395-n	X	lumbricus terestris
01935476-v	O	bersepeda
01935476-v	O	menggenjot
01935744-a	O	legendaris
01936219-n	O	Polychaeta
01936391-n	X	polychaeta
01937994-a	O	bain
01937994-a	O	real
01937994-a	O	riil
01940488-n	O	Molusca
01940488-n	O	Moluska
01940488-n	X	Hewan lunak
01941030-n	O	Scaphopoda
01941093-v	O	memiloti
01941340-n	X	scaphopoda
01941670-n	O	Siput
01942724-n	O	Abalon
01942724-n	O	Haliotis
01942959-v	O	membubung
01943338-v	O	membubung
01943448-v	O	mengimbak-imbak
01943718-v	O	membubung
01943718-v	O	memuncak
01943949-v	O	meloncer
01943949-v	O	membubung
01944086-v	O	meroket
01944252-v	O	mengimbak-imbak
01944660-a	X	tidak makan benang
01944812-n	X	helix pomatia
01945381-v	O	kapal pesiar
01945381-v	X	berperahu pesiar
01945550-a	O	resiprokal
01949110-v	X	mengendarai bus
01950128-v	X	mengendarai bus
01950457-n	O	Nudibranch
01950457-n	O	Nudibranchia
01950457-n	O	Siput Nudibranch
01950502-v	X	Kapal tongkang
01950731-n	X	nudibranchia
01950798-v	O	mengantarkan
01952405-a	O	belongkotan
01953334-v	X	mengalihkan jurusan
01953467-a	O	belongkotan
01953467-a	O	wagu
01953810-v	O	mentranspor
01955127-v	O	pemberangkatan
01955808-v	O	membubung
01955933-n	X	lamellibranchia
01955933-n	X	pelecypoda
01955984-v	O	mengendarai
01956675-a	O	hilang lenyap
01956764-n	O	kulit kerang
01957739-n	X	genus venus
01958452-v	X	menyulutkan
01959187-n	O	Tridacnidae
01959187-n	O	Tridacninae
01959333-n	O	Kima
01959668-n	O	Cardiidae
01959668-n	O	Kerang
01959668-n	X	Kerang darah
01960296-v	O	membarui
01960296-v	O	memperbarui
01960296-v	O	mengulurkan
01962375-v	O	gaya punggung
01962788-n	X	capiz
01962865-v	X	terjun menjunam
01963942-v	O	dompak
01963942-v	O	doncang
01963942-v	O	melompat-lompat
01964367-a	O	repetitif
01964634-v	O	membobolkan
01964634-v	X	meledakan
01964788-v	O	ambul
01965156-v	O	dompak
01965156-v	O	doncang
01965747-n	O	Simping
01966861-v	O	skip
01967240-a	O	periodik
01968115-n	O	Cephalopoda
01968115-n	O	Sefalopoda
01968115-n	O	Teutologi
01968115-n	O	Theutologi
01968115-n	O	Theutology
01968165-a	X	tiap-tiap hari
01968275-v	O	colot
01968275-v	O	doncang
01968275-v	O	kincak
01968275-v	O	parasut
01968315-n	X	cephalopoda
01968569-v	O	meloncer
01968569-v	O	membubung
01968569-v	O	terangkat
01968569-v	X	menyingsinng
01968591-n	O	Nautilida
01968591-n	O	Nautilus
01969216-v	O	meloncer
01969216-v	O	membubung
01969348-a	X	Duakali setahun
01969550-n	O	Gurita
01969550-n	O	Octopoda
01969550-n	O	Oktopus
01969779-v	O	meloncer
01969779-v	O	membubung
01969779-v	X	menyingsinng
01970014-a	X	sebulan dua kali
01970348-v	O	meloncer
01970348-v	O	membubung
01970348-v	X	menyingsinng
01970646-v	O	mengeset
01970826-v	O	berjatuhan
01970826-v	O	menggelulur
01971929-v	X	menyurut
01972131-v	O	mengangsurkan
01972131-v	O	menyalip
01972298-v	O	berjatuhan
01972298-v	O	menggelulur
01972570-v	O	berbentrok
01973759-v	O	membubungkan
01973759-v	O	memeliharakan
01973759-v	O	meroket
01973759-v	O	terangkat
01973759-v	X	menyingsinng
01974062-v	O	membubungkan
01974062-v	O	memeliharakan
01974062-v	O	meroket
01974062-v	X	menyingsinng
01974399-n	O	Krustasea
01974773-n	O	krustasea
01974773-n	X	crustacea
01975312-n	O	Malacostraca
01975587-v	O	membubungkan
01975587-v	O	memeliharakan
01975587-v	O	meroket
01975912-v	O	meroket
01975912-v	X	meiklankan
01976220-v	O	membungkuk
01976220-v	O	mencelupkan
01977155-a	X	insyaf
01977832-n	X	genus Cancer
01978700-v	O	bertenggek
01978700-v	X	menyulutkan
01979901-v	O	melandas
01981436-v	O	melandas
01981623-v	O	bertambak
01981884-n	O	Maia
01982044-v	O	melencangkan
01982395-v	O	demik
01982395-v	O	meluwengkan
01982395-v	O	menggenjot
01982395-v	O	menoyor
01982650-n	O	udang galah
01982650-n	O	udang karang
01982866-v	O	bertambak
01983134-v	O	meloncer
01983134-v	O	membubung
01983134-v	X	menyingsinng
01983264-v	O	meloncer
01983264-v	O	membubung
01983264-v	X	menyingsinng
01983481-n	X	Lobster amerika
01983797-a	O	jelek
01983797-a	X	bernama buruk
01984317-v	O	berjatuhan
01984317-v	O	menggelulur
01985271-v	O	mengulurkan
01985524-v	O	ambrol
01985524-v	O	ambruk
01985757-v	O	ambrol
01985757-v	O	ambruk
01986185-v	O	memboyong
01986185-v	X	menyurut
01986214-n	X	kelomang
01986367-v	X	menyurut
01988458-v	O	memboyong
01988701-n	X	krill
01988701-n	X	udang krill
01988886-v	X	meneggelamkan
01989053-v	O	ambrol
01989053-v	O	membobolkan
01989562-v	O	membobolkan
01989562-v	X	meledakan
01989669-a	X	tatag
01989873-v	O	memboyong
01990281-v	O	meloncer
01990281-v	O	membubung
01990281-v	X	menyingsinng
01992375-v	O	menjungkat-jungkit
01994176-n	O	Brachiopoda
01994176-n	O	Branchiopoda
01994442-v	O	hengkang
01994442-v	O	memensiunkan
01994846-v	O	hengkang
01995211-v	O	membedol
01995211-v	O	menghela
01995549-v	X	bergerak ke depan
01996585-n	X	copepod
01996585-n	X	copepoda
01997698-n	O	Ostracoda
01997825-n	X	ostracoda
01997862-v	X	NA003
01999423-v	O	bimbing
01999798-v	O	berulah
01999798-v	O	meluwengkan
01999798-v	O	mengantar
02000288-v	X	nyasar
02000547-v	O	memperlihatkan
02000868-v	O	mengejar-ngejar
02000868-v	O	menguber
02000954-n	X	burung wader
02001252-v	O	mengendap-endap
02001428-n	O	Ciconiiformes
02001821-n	O	Bangau
02001821-n	X	Burung bangau
02001858-v	O	menguber
02001858-v	O	oyak
02003480-v	O	mengejar-ngejar
02003601-v	O	mengejar-ngejar
02003839-n	X	jabiru
02004009-v	X	mengendap-ngendap
02005347-v	O	pulang balik
02005756-a	O	kokoh
02005790-n	X	burung ibis
02005790-n	X	ibis
02005948-v	O	mengantongi
02005948-v	X	bsangkil
02006453-v	O	mendangkar
02006656-n	X	burung spoonbill
02006656-n	X	ibis-sendok
02006656-n	X	platalea
02006656-n	X	spoonbill
02006834-v	O	menggenjot
02006834-v	O	menoyor
02007882-a	O	reflektif
02009433-v	O	menggerawatkan
02009508-n	O	kuntul kecil
02009508-n	X	egretta garzetta
02010272-n	X	bubulcus ibis
02010272-n	O	kuntul kerbau
02010728-n	X	kowak-malam abu
02010728-n	X	kowak-malam kelabu
02010864-v	O	mengantongi
02011685-v	X	NA003
02011865-v	O	doncang
02011865-v	X	mengelincirkan
02012227-v	X	meneransfer
02012344-v	O	lencong
02012344-v	O	memutasikan
02012344-v	O	mengisarkan
02012344-v	O	mentransfer
02013571-v	X	memidahkan
02014165-v	O	berawal
02014165-v	O	mencerai
02014646-n	O	Rallidae
02014715-a	O	terpesona
02015168-v	O	membedol
02015168-v	O	meruntunkan
02015598-v	O	eksit
02015598-v	O	menggerawatkan
02016220-v	X	meninggalkan latihan
02016523-v	X	masuk ke
02019011-v	O	berbentrok
02019021-a	O	ritmis
02019716-v	X	merasuki
02020027-v	O	geledah
02020590-v	O	mengantongi
02020590-v	O	menggenjot
02020590-v	O	menoyor
02021376-v	X	memuncaki
02021795-n	X	burung laut
02022135-n	O	Burung Wader
02022135-n	O	Wader
02022659-v	O	terbebas
02023107-v	O	jumpa
02023287-a	O	bangkrut
02023396-v	O	memotivasi
02023396-v	O	mengarungi
02024143-a	O	gani
02024143-a	O	tebal kantong
02024143-a	X	banyak minyaknya
02024367-v	O	mengenyak
02024367-v	O	meremas
02024367-v	O	meremas-remas
02024508-v	X	memanggil rapat
02025009-v	X	beberot
02025353-v	O	berpasuk-pasuk
02025353-v	X	beberot
02025550-v	O	menyanding
02026312-a	O	solven
02026629-a	O	bangkrut
02026629-a	O	gulung tikar
02028616-v	O	menggembalakan
02028722-v	O	menggembalakan
02028994-v	X	mencecerkan
02030158-v	O	mencerai
02030424-v	X	mencecerkan
02031585-n	X	Berkik-gunung amerika
02031826-v	O	mengisolasi
02033137-v	O	melekokkan
02033137-v	O	menjerungkung
02033137-v	X	membelengkokan
02033295-v	X	melenceng
02033295-v	X	membelok tiba-tiba
02033295-v	X	menikung tajam
02033805-v	O	memesong
02034300-v	O	melekokkan
02034300-v	O	memesong
02034300-v	O	menjerungkung
02034300-v	X	membelengkokan
02034986-v	O	terangkat
02035402-n	X	gagang-bayam timur
02035402-n	X	himantopus leucocephalus
02035781-v	O	melencangkan
02035919-v	O	melekokkan
02035919-v	O	menggerak-gerakkan
02035919-v	O	menjerungkung
02035919-v	X	membelengkokan
02038126-a	X	Kuat dan tegap
02038357-v	O	doyong
02039413-v	X	Memiringkan pesawat
02039679-v	O	mencelupkan
02040049-a	O	hasai
02040049-a	O	ringkih
02040273-v	O	membungkuk
02041877-v	O	ambruk
02041877-v	O	membobolkan
02041877-v	O	sunjam
02043063-n	O	dara laut
02043063-n	X	dara-laut
02043190-v	O	melansir
02043851-v	O	berujar
02043982-v	X	melegar
02045043-v	O	berotasi
02045043-v	X	melegar
02045415-v	X	melegar
02045790-v	X	melegar
02046755-v	O	mengisarkan
02048051-v	O	mengisarkan
02048344-a	X	bintang jatuh
02048682-v	O	mengulek
02048952-n	O	Loon
02049696-v	O	mengangsurkan
02049696-v	O	menyalip
02050004-n	X	burung grebe
02050132-v	O	mengangsurkan
02050132-v	O	menyalip
02050688-v	O	beria berbukan
02050688-v	O	berwawanrembuk
02050688-v	O	memperundingkan
02051694-v	O	mengangsurkan
02051694-v	O	menyalip
02051845-n	X	burung pelikan
02052333-a	O	urban
02052476-v	O	mengangsurkan
02052476-v	O	menyalip
02053425-n	X	solan
02053584-n	X	angsa-batu
02053818-a	X	bersih hati
02053859-n	O	Kormoran
02053859-n	O	Pecuk
02053859-n	X	Burung kormoran
02053941-v	O	ayo
02053941-v	O	meloncer
02053941-v	O	membubung
02054989-v	O	membarui
02054989-v	O	memperbarui
02054989-v	O	mengulurkan
02055649-v	O	berlekas-lekasan
02055649-v	X	mrmburu-burukan
02056728-n	X	penguin kaisar
02056728-n	X	pinguin kaisar
02056880-a	O	profan
02057478-n	O	Procellariiformes
02057499-v	O	menghela
02058590-v	X	NA003
02058756-v	O	menghela
02058994-v	O	berlekas-lekasan
02058994-v	O	berlomba
02058994-v	X	mrmburu-burukan
02059462-v	O	berlekas-lekasan
02059462-v	O	berlomba
02059462-v	X	mrmburu-burukan
02060141-v	O	melansir
02060141-v	O	meruyak
02060141-v	O	ruyak
02060141-v	O	terbebar
02060141-v	O	terlanjau
02060569-n	X	Penggunting-laut manx
02060569-n	X	Puffinus puffinus
02061069-v	O	menciutkan
02061366-v	O	menciutkan
02061487-a	O	purnabakti
02061495-v	O	mengempaskan
02062209-n	O	Cetacean
02062212-v	O	mencelampakkan
02062212-v	O	mengeban
02062632-v	O	dekam
02062632-v	O	gerumuk
02062632-v	O	melekokkan
02062632-v	O	membungkuk
02062632-v	O	menjerungkung
02062632-v	O	rongkok
02062632-v	X	membelengkokan
02062991-n	O	Mysticeti
02062991-n	O	Paus
02062991-n	X	Paus balin
02063224-n	X	paus balin
02063309-v	O	mendompleng
02063662-n	X	paus sikat
02063771-v	O	rangkak
02064000-n	X	paus kepala busur
02064338-n	X	balaenopteridae
02064338-n	X	balaenoptiidae
02064338-n	X	rorqual
02064608-n	O	Balaenoptera
02064612-v	O	membungkuk
02064612-v	O	menjerungkung
02065026-n	X	paus sirip
02065407-n	X	paus minke
02065726-n	X	paus bungkuk
02066203-v	X	perjalanan memutar
02066245-n	X	ikan paus kelabu
02066245-n	X	paus kelabu
02067240-n	X	ikan paus sperma
02067719-a	O	berbeda
02068062-v	O	mengisarkan
02069014-v	O	mencemooh
02069888-v	X	berceceran
02070874-v	X	mendrible
02071142-v	O	menderai-deraikan
02071142-v	O	menderaikan
02071294-n	X	orka
02072159-v	O	membeludak
02072159-v	X	terlindas
02072501-v	O	perlahan-lahan
02072501-v	O	sedikit demi sedikit
02072849-v	O	mengangsurkan
02072849-v	O	menyalip
02073041-n	O	Sirenia
02073065-v	O	amblas
02073065-v	O	raib
02073233-v	O	membobolkan
02073233-v	O	menjebluk
02073443-a	O	sehat akal
02073443-a	O	sehat pikiran
02073545-v	O	bergempa
02073545-v	O	bergoyang-goyang
02073545-v	O	mengopyok
02073831-n	O	lembu laut
02074092-a	O	sedeng
02074092-a	X	mejenun
02074092-a	X	sakit pikiran
02074092-a	X	setengah miring
02074367-n	X	ikan duyung
02074377-v	O	menggelicikkan
02074677-v	O	buron
02074726-n	X	Sapi laut Steller
02075049-v	O	elak
02075049-v	O	hengkang
02075296-n	X	binatang pemakan daging
02075296-n	X	karnivora
02075321-a	O	menjelekkan
02075462-v	O	hengkang
02075462-v	O	menarik langkah seribu
02075857-v	O	meluwengkan
02077148-v	O	meruyak
02077148-v	O	ruyak
02077656-v	O	meluwengkan
02078591-v	O	introduksi
02078591-v	O	mengimpor
02078855-v	X	menginsinuasikan
02079313-a	X	Menyakitkan hati
02079933-v	O	bawa
02079933-v	O	berulah
02080924-v	X	mengirimkan lagi
02081178-v	X	bersuluh matahari
02081178-v	X	memuncaki
02081946-v	O	berawal
02082690-v	O	melansir
02082690-v	O	meruyak
02082690-v	O	ruyak
02082690-v	O	terbebar
02083806-v	O	merangsangkan
02083806-v	X	Membuat menjadi sibuk
02083806-v	X	menyibukan
02085019-n	X	feist
02085573-v	O	merambatkan
02085620-n	O	Chihuahua
02086079-n	O	Pekines
02086079-n	O	Pekingese
02086458-v	O	lencong
02086458-v	O	memutasikan
02086910-n	X	papillon
02088094-n	O	Afghan Hound
02088198-a	X	layak udara
02088238-n	X	anjing basset
02088241-v	O	memutasikan
02088364-n	X	anjing berkaki pendek
02088364-n	X	anjing pacuan
02088364-n	X	beagle
02088792-v	O	mengguruh
02088792-v	X	bergemelentam
02088883-a	O	rahasia
02089232-n	X	dachshund
02089420-v	X	melenceng
02089420-v	X	membelengkokan
02089420-v	X	membolak-balik
02090622-n	X	borzoi
02090990-v	O	menggelecik
02090990-v	O	tergelangsar
02090990-v	O	tergelecik
02091300-a	O	indikatif
02091410-v	O	memijak
02091410-v	O	pijak
02091831-n	O	Saluki
02092002-n	O	Deerhound
02092468-n	X	terrier
02092476-v	O	hengkang
02093390-v	O	menggenjot
02093390-v	O	mengibar-ngibarkan
02093428-n	O	American Pit Bull Terrier
02093610-v	O	menggenjot
02093647-n	O	Bedlington Terrier
02093754-n	O	Border Terrier
02093920-v	O	mencambuki
02094057-v	O	Mengepakan
02094428-v	O	mengempaskan
02094433-n	O	Yorkshire Terrier
02095050-n	X	fox terrier
02095727-n	O	Terier Wales
02095727-n	O	Welsh Terrier
02095889-n	O	Sealyham Terrier
02096047-v	X	intensely
02096051-n	O	Airedale Terrier
02096051-n	O	Terier Airedale
02096167-v	O	gisar
02096177-n	X	cairn terrier
02096294-n	O	Terrier Australia
02096585-n	O	Boston Terrier
02096756-n	X	schnauzer
02097047-v	O	sunjam
02097047-v	X	jatuh terguling
02097298-n	O	Terrier Skotlandia
02097474-n	O	Terier Tibet
02097474-n	O	Tibetan Terrier
02098413-n	O	Lhasa Apso
02099239-v	O	menyabet
02099239-v	O	merampasi
02099601-n	X	golden retriever
02099712-n	O	Labrador Retriever
02099774-a	O	werda
02100476-v	O	hengkang
02101556-n	X	clumber spaniel
02101580-a	X	curiosity
02102002-v	O	bepergian
02102318-n	X	cocker spaniel
02102318-n	X	cocker spaniel inggris
02102398-v	O	mengendarai
02102840-v	O	bergelayangan
02102840-v	O	berlanglang
02102840-v	O	melayang-layang
02102840-v	X	berpetualang
02103162-v	O	menghela
02104373-v	O	merapun
02104503-v	O	membungkuk
02105082-v	O	dompak
02105082-v	O	doncang
02105412-n	X	kelpi
02105505-n	X	komondor
02105855-n	X	Anjing gembala Shetland
02106006-v	O	merasa
02106382-n	X	Bouvier des Flandres
02106506-v	O	merasa
02106662-n	O	Herder
02106662-n	X	Anjing gembala jerman
02106662-n	X	Gembala jerman
02107908-n	O	Keju Appenzeller
02108026-v	O	mengantongi
02108654-v	O	mengantongi
02108672-n	O	buldog
02108672-n	X	bulldog
02108791-v	O	demik
02108791-v	O	menggenjot
02108791-v	O	menggerayangi
02108791-v	O	menoyor
02108791-v	O	tersadar
02108915-n	O	Bulldog Perancis
02109047-n	O	Great Dane
02109150-n	X	anjing pemandu
02109404-v	O	memperbolehkan
02109525-n	O	Saint Bernard, Leyte Selatan
02109818-v	O	putus nyawa
02109818-v	O	sampai janjinya
02109818-v	O	sempurna usia
02109818-v	X	berjalan lebih dahulu
02109818-v	X	ke liang kubur
02110063-n	X	malamut alaska
02110185-n	O	Siberian Husky
02110341-n	X	dalmatian
02110552-v	O	merasa
02110627-n	X	affenpinscher
02110806-n	X	basenji
02110958-n	X	pug
02111626-n	X	spitz
02111684-a	O	bersama
02112018-n	O	Pomerania
02112018-n	O	Pomeranian
02112029-v	O	mengekspos
02112137-n	X	chow chow
02112350-n	X	keeshond
02112701-a	O	bersama
02113023-n	O	Welsh Corgi Pembroke
02113186-n	O	Welsh Corgi Cardigan
02113335-n	O	pudel
02114367-n	X	serigala abu-abu
02115273-v	X	tertutup pikirannya
02115759-a	O	aseptik
02115913-n	X	ajag
02116118-v	O	menggairahkan
02116118-v	O	merangsangkan
02116450-n	X	anjing rakun
02116450-n	X	nyctereutes procyonoides
02117135-n	O	hiena
02117135-n	X	hyaenidae
02117170-v	O	menyia-nyiakan
02117900-n	X	hyena
02118933-v	O	mencamkan
02119241-v	O	melayas
02119241-v	O	mempercapak
02120140-v	O	menggelitik
02120140-v	X	mangateki
02120451-v	O	gigit
02120458-a	O	sembrono
02121234-n	O	Felis
02122164-v	O	mencelakai
02122164-v	O	terluka
02122665-v	O	berdampung-dampung
02122665-v	O	mendetak
02122665-v	O	mengentak-entak
02123475-a	O	pilihan
02124748-v	O	hidu
02125010-n	X	kucing pasir
02125032-v	O	hidu
02125223-v	O	memilin-milin
02125223-v	O	mendangkar
02125223-v	O	merasa
02125311-n	X	cougar
02125311-n	X	puma ag
02125311-n	X	puma aktiengesellschaft
02125689-n	X	jaguarundi
02126317-n	X	prionailurus bengalensis
02126430-a	O	berlokasi
02126863-v	X	menghilangkan bau busuk
02127052-n	X	lynx
02127100-v	X	mengasapai
02127678-n	X	caracal, rumania
02127678-n	X	karakal
02128653-v	O	intip
02128653-v	O	tengok
02128757-n	X	macan tutul salju
02128873-v	O	tengok
02129289-v	O	perhati
02129604-n	Y	macan
02130086-n	X	tigon
02130300-v	O	berpikir-pikir
02130300-v	O	memelototi
02130300-v	O	menyangkakan
02130308-n	X	cheetah
02131279-v	O	mengekol
02131279-v	O	mengobservasi
02131942-n	O	Ursus
02131963-v	O	mengobservasi
02132136-n	X	beruang cokelat
02132136-n	X	beruang coklat
02132136-n	X	beruang grizzly
02132136-n	X	ursus arctos
02132745-v	O	celang
