synset	lemma	annotation	goodness label	confidence	language
01434717-a	jauh	KEEP	O	None	None
02006834-v	tiba	DELETE	O	None	None
01654628-v	membuat	KEEP	O	None	None
00381097-a	merah gincu	DELETE	X	None	None
01821132-v	tercekam	KEEP	None	None	None
13353280-n	kekayaan	KEEP	Y	1	Spanish
01410606-a	demen	DELETE	O	None	None
13747725-n	17	KEEP	None	1	Finnish
08506641-n	medan pertempuran	KEEP	O	1	English
01020356-v	menuliskan	KEEP	O	None	None
00720063-v	menantikan	KEEP	O	None	None
05703429-n	perhatikan	KEEP	X	1	English
05913842-n	pilar	KEEP	L	1	English
01946996-v	mendayung	KEEP	O	None	None
00705891-a	halus	KEEP	Y	None	None
09908025-n	pemuda	DELETE	O	1	Finnish
04606014-n	kalungan bunga	KEEP	X	1	English
90000328-n	hari raya	KEEP	None	None	None
00648224-v	menelusuri	KEEP	O	None	None
09604981-n	diri	KEEP	L	1	English
03385557-n	kubu	KEEP	O	1	Finnish
08642517-n	dekat	KEEP	O	1	Spanish
02664769-v	mempunyai ukuran	DELETE	X	None	None
00770437-v	memiliki	DELETE	O	None	None
13744521-n	5	KEEP	None	1	English
09979321-n	kritikus	KEEP	Y	1	Slovene
02075857-v	memasukkan	DELETE	O	None	None
00306314-a	mampu	KEEP	Y	None	None
09063673-n	los angeles	KEEP	None	1	Japanese
00227507-a	hebat	KEEP	None	None	None
01640550-v	didesain	KEEP	None	None	None
09952539-n	direktur	KEEP	X	1	Spanish
09065557-n	san francisco	KEEP	None	1	Japanese
03183080-n	alat	KEEP	O	1	English
80000385-n	bugis	KEEP	None	None	None
07996689-n	set	KEEP	Y	1	English
08683548-n	hutan	KEEP	Y	1	English
01740892-a	damai	KEEP	Y	None	None
05839024-n	rupa bentuk	DELETE	None	1	English
08593262-n	dawai	DELETE	O	1	Spanish
01367431-a	festival	KEEP	None	None	None
00756638-a	susu	KEEP	O	None	None
10290541-n	maniak	KEEP	None	1	English
02730471-v	terasa	KEEP	O	None	None
90000179-n	five star hainanese chicken rice	KEEP	None	None	None
02297409-v	tawarkan	KEEP	L	None	None
02873839-n	kedai	KEEP	O	1	Spanish
00488187-a	khusus	KEEP	L	None	None
07882497-n	campuran	KEEP	O	1	Slovene
00183053-a	tersedia	KEEP	Y	None	None
01108716-a	teknis	KEEP	O	None	None
05840076-n	macam	KEEP	O	1	Slovene
09786585-n	amatir	KEEP	O	1	Portuguese
03588414-n	benda	KEEP	O	1	Finnish
00110533-r	ke dalam	DELETE	X	None	None
01320424-v	memanen	KEEP	O	None	None
01663749-v	baked	KEEP	None	None	None
08627919-n	kawasan	KEEP	O	1	English
05751794-n	culture	KEEP	None	2	English, Spanish
00325208-v	oseng-oseng	KEEP	None	None	None
01807799-a	cantik	KEEP	O	None	None
13562133-n	penyimpanan	KEEP	O	1	English
01898722-a	praktis	KEEP	O	None	None
01531957-a	medium	DELETE	O	None	None
13844923-n	pendahulu	KEEP	O	1	Finnish
00182406-v	masukkan	KEEP	X	None	None
02233704-v	download	KEEP	None	None	None
00109151-r	di sana	KEEP	O	None	None
02110220-v	mengalami	KEEP	O	None	None
01515280-a	aktif	KEEP	O	None	None
00082241-a	agresif	KEEP	Y	None	None
04295881-n	bowl	KEEP	None	1	Polish
14375890-n	ketegangan	KEEP	O	1	English
01638962-a	purba	KEEP	O	None	None
02207105-a	ke 41	KEEP	None	None	None
04299215-n	warung	KEEP	Y	1	English
02870092-n	buku	KEEP	Y	1	English
00087423-n	hibah	KEEP	None	1	Spanish
80002384-a	tandori	KEEP	None	None	None
00920336-v	mengetahui	KEEP	O	None	None
15165490-n	siang	KEEP	O	1	English
00597915-v	ketahui	KEEP	None	None	None
04468005-n	keretapi	KEEP	X	1	Portuguese
02869563-a	melihat	KEEP	Y	None	None
01982395-v	membawa	DELETE	O	None	None
07827284-n	kunyit	KEEP	O	1	English
00524682-v	meluwengkan	DELETE	O	None	None
05750657-n	gaya	KEEP	Y	1	English
01256157-v	ukir	KEEP	O	None	None
00348746-v	mulai	KEEP	Y	None	None
03484083-n	kereta	KEEP	O	1	English
00047534-r	juga	KEEP	O	None	None
02372605-v	melalui	KEEP	O	None	None
06635509-n	isi	KEEP	O	1	Portuguese
04710127-n	kerasnya	KEEP	X	1	English
02755017-v	membendung	DELETE	O	None	None
00024587-r	bukan	DELETE	O	None	None
07577374-n	kudapan	KEEP	X	1	English
02222318-v	membuang	KEEP	O	None	None
00522463-a	lengkap	KEEP	O	None	None
02685951-v	membuyarkan	DELETE	O	None	None
02468635-a	klasik	KEEP	Y	None	None
00345761-v	memulai	KEEP	None	None	None
01029406-n	upacara	KEEP	O	1	Finnish
01326528-v	menengkarapkan	DELETE	O	None	None
08558963-n	rumah	KEEP	Y	1	Portuguese
07804323-n	padi	DELETE	Y	1	Portuguese
14965501-n	seluloid	KEEP	O	None	None
02186750-a	kelima	KEEP	None	None	None
13931145-n	persahabatan	KEEP	Y	4	Polish, Finnish, English, Portuguese
08187033-n	rombongan	KEEP	Y	1	English
05891783-n	dugaan	KEEP	O	1	Polish
00008600-r	cuma	KEEP	O	None	None
02238085-v	mendapat	DELETE	Y	None	None
77000029-n	mereka	DELETE	None	None	None
13750415-n	ratus,ratus	DELETE	X	1	Spanish
02491851-v	berpestalah	KEEP	None	None	None
90000141-n	joo chiat road	KEEP	None	None	None
00406243-v	bersiap	KEEP	O	None	None
07879450-n	sushi	KEEP	X	3	Japanese, English, Portuguese
03313333-n	teras	KEEP	None	2	English, Spanish
10112591-n	kawan	KEEP	O	1	Spanish
07669098-n	babi kecil	KEEP	X	1	Greek
01733477-v	percantik	KEEP	None	None	None
02620587-v	makhluk	DELETE	O	None	None
01326528-v	menumpas	DELETE	O	None	None
00484892-v	menyelesaikan	KEEP	O	None	None
03365592-n	lantai	KEEP	Y	1	Polish
01925372-a	wajar	KEEP	O	None	None
90000181-n	india utara	KEEP	None	None	None
02511528-a	keras	KEEP	O	None	None
02161982-a	besar	KEEP	O	None	None
80000945-x	wah	KEEP	None	None	None
01777210-v	sebagai	DELETE	O	None	None
01793812-a	sederhana	KEEP	O	None	None
02102840-v	berpetualang	KEEP	X	None	None
05930736-n	berbentuk	DELETE	O	1	Slovene
00181676-r	luar negeri	KEEP	O	None	None
14480065-n	fasa	DELETE	None	1	Slovene
07846471-n	susu kental manis	KEEP	X	None	None
02208265-v	dapat	DELETE	O	None	None
15249636-n	generasi	KEEP	O	1	English
01941093-v	terbang	KEEP	O	None	None
01099536-a	tertentu	KEEP	Y	None	None
08665504-n	kota	KEEP	Y	1	English
08497294-n	kawasan	KEEP	O	1	Finnish
00309115-n	pelayaran	KEEP	O	1	Japanese
01090335-v	gaduh	KEEP	Y	None	None
02614387-v	tinggal	KEEP	O	None	None
90000022-n	cotton on	KEEP	None	None	None
00100002-r	sedikit	KEEP	None	None	None
00406243-v	bersiaplah	KEEP	X	None	None
01224744-v	dioperasikan	KEEP	X	None	None
04527648-n	beranda	KEEP	Y	1	English
01999798-v	berpimpin	DELETE	Y	None	None
02140033-v	tampilkan	KEEP	X	None	None
00230033-v	menambahkan	KEEP	Y	None	None
10550673-n	santa klaus	KEEP	None	1	English
90000299-n	nyonya baba	KEEP	None	None	None
02075857-v	membutuhkan	DELETE	O	None	None
02897820-n	bata	KEEP	O	1	English
00027384-r	tetap	KEEP	O	None	None
03581125-n	persimpangan	KEEP	Y	2	English, Spanish
01233156-n	kunjungilah	KEEP	X	1	Greek
09433442-n	pantai	KEEP	O	1	English
06329734-n	masa sekarang	KEEP	X	1	English
03282933-n	sulaman	KEEP	O	1	English
08054417-n	hospital	KEEP	O	1	Spanish
15120050-n	sekarang ini	KEEP	X	1	English
01856066-a	dasar	KEEP	O	None	None
01999798-v	jadi	DELETE	O	None	None
00027384-r	namun	KEEP	O	None	None
06410904-n	kitab	KEEP	Y	1	Portuguese
01696648-v	warna	KEEP	O	None	None
09416076-n	batu	KEEP	Y	1	Portuguese
00075021-v	melelahkan	KEEP	O	None	None
11412727-n	perubahan	KEEP	O	1	Slovene
01664172-v	menjadikan	DELETE	O	None	None
02304507-v	jatuh	KEEP	O	None	None
01027174-v	menyesuaikan	DELETE	O	None	None
01212867-a	bawah	KEEP	O	None	None
01621555-v	buat	KEEP	X	None	None
00343226-a	nasib	KEEP	O	None	None
00406243-v	menyediakan	KEEP	O	None	None
76100095-x	unit	KEEP	None	None	None
00031921-n	hubungan	KEEP	O	1	English
02614181-v	adalah	DELETE	O	None	None
06878071-n	senyuman	KEEP	Y	1	English
01060494-v	memberi	KEEP	O	None	None
08539717-n	pemukiman	KEEP	O	1	Spanish
00118523-v	berlangsung	KEEP	O	None	None
07997703-n	kelas	KEEP	O	2	English, Spanish
05839024-n	berbentuk	KEEP	O	1	English
02375619-v	jarak dekat	KEEP	O	None	None
03289268-n	pahatan	KEEP	O	1	Spanish
07041451-n	duet	KEEP	O	1	English
02203373-a	ke 10	KEEP	None	None	None
00031974-a	aktif	KEEP	Y	None	None
02106506-v	melihat	KEEP	O	None	None
02204472-a	ke 19	KEEP	None	None	None
02789487-n	bar	KEEP	O	1	Polish
05861067-n	total	KEEP	L	1	English
02898922-a	budaya	KEEP	None	None	None
02552449-v	memulihkan	KEEP	O	None	None
02129165-n	simha	KEEP	None	1	English
00871942-v	menandai	KEEP	O	None	None
80001280-v	META:NOLEX	KEEP	None	None	None
07309599-n	11	KEEP	None	1	English
02207206-v	belilah	KEEP	None	None	None
00620752-n	usaha	KEEP	Y	1	English
00616913-a	tumis	KEEP	None	None	None
01326528-v	melalap	DELETE	O	None	None
01103021-a	khas	KEEP	O	None	None
02108654-v	menyambut	DELETE	O	None	None
01567694-a	seluruh dunia	KEEP	X	None	None
00720497-v	nantikan	KEEP	None	None	None
01593649-a	yang biasa	KEEP	X	None	None
02681795-v	pertahankan	KEEP	L	None	None
14563564-n	kegelapan	KEEP	O	1	Greek
01882170-v	berjalan-jalanlah	KEEP	X	None	None
01676517-a	sangat	KEEP	O	None	None
07823951-n	gulai	KEEP	Y	3	Polish, English, Portuguese
07721456-n	pedas	KEEP	None	1	Portuguese
80000064-n	Nusantara	KEEP	None	None	None
09812338-n	artis	KEEP	Y	2	English, Spanish
00038625-r	memang	KEEP	O	None	None
00102736-r	dulu	KEEP	None	None	None
00352127-a	berubah	KEEP	O	None	None
08664443-n	tempat	KEEP	O	1	English
02685951-v	mengulurkan	DELETE	O	None	None
07185325-n	permintaan	KEEP	O	1	Portuguese
00242976-v	menyatukan	KEEP	O	None	None
04837425-n	laga	KEEP	Y	1	English
00341917-v	datanglah	KEEP	None	None	None
14049711-n	kesehatan	KEEP	O	1	Slovene
01653873-v	dibuat	KEEP	None	None	None
01771535-v	serasa	KEEP	None	None	None
08647049-n	pemandangan laut	KEEP	X	None	None
04546855-n	dinding	KEEP	Y	1	Polish
10782940-n	pemenang	KEEP	Y	1	English
05833840-n	ide	KEEP	Y	1	English
00487525-a	piawai	DELETE	O	None	None
03871524-n	kemasan	KEEP	None	1	English
02149787-a	berbentuk	KEEP	O	None	None
00320852-n	prakata	DELETE	O	1	Spanish
02913152-n	esplanade	KEEP	None	1	Portuguese
00596644-v	alami	KEEP	None	None	None
10627082-n	nyawa	KEEP	O	1	Polish
06892534-n	beramal	KEEP	None	None	None
13268842-n	hadiah	KEEP	Y	1	English
04346328-n	stupa	KEEP	O	1	English
01156834-v	menghabiskan	KEEP	O	None	None
00345641-n	pemutaran	KEEP	O	1	English
12607456-n	nanas	KEEP	O	1	English
08489497-n	disini	KEEP	X	1	English
09530721-n	Dewa Krishna	KEEP	None	1	English
80001305-n	suku Minangkabau	KEEP	None	None	None
00512877-v	memungkinkan	KEEP	O	None	None
08491027-n	alamat	KEEP	Y	1	Spanish
00510749-r	begitu	KEEP	O	None	None
01771839-a	lebat	KEEP	O	None	None
00630380-v	merenungkan	KEEP	Y	None	None
01017161-a	fit	KEEP	O	None	None
90000124-n	city hall	KEEP	None	None	None
00394813-v	membancuhkan	DELETE	O	None	None
07815588-n	merica	KEEP	None	1	English
01195299-v	mencicipi	KEEP	O	None	None
15167027-n	malam hari	KEEP	None	1	Finnish
05997814-n	dunia	KEEP	O	1	English
90000027-n	drama box	KEEP	None	None	None
02446651-a	lembut	KEEP	Y	None	None
90000167-n	thekchen choling	KEEP	None	None	None
07935152-n	green tea	KEEP	None	None	None
06210791-n	sudut	KEEP	O	1	Slovene
01728919-a	lampau	KEEP	O	None	None
02493030-v	kunjungi	KEEP	None	None	None
02959007-a	portugis	KEEP	None	None	None
08249038-n	band	KEEP	X	1	English
90000230-n	makanan khas singapura	KEEP	None	None	None
01329830-a	dipadu	KEEP	X	None	None
05146471-n	mewah	KEEP	O	1	English
00345761-v	mulailah	KEEP	None	None	None
02757316-a	bulan	KEEP	O	None	None
10391653-n	pelukis	KEEP	Y	1	Slovene
01326528-v	mengobrak-abrik	DELETE	X	None	None
07578363-n	porsi	KEEP	O	1	English
01496021-a	minimal	KEEP	O	None	None
08459648-n	rangkaian	KEEP	O	1	English
02397496-a	pedas	KEEP	O	None	None
07064715-n	rock ‘n’ roll	KEEP	None	1	Slovene
04435180-n	genting	KEEP	O	1	English
02800675-n	tanah dalam	KEEP	X	1	Spanish
04674715-n	wajah	KEEP	Y	1	English
01815628-v	puaskan	KEEP	None	None	None
00756076-v	meluwengkan	DELETE	O	None	None
01285376-a	indah	KEEP	M	None	None
03636248-n	lampu	KEEP	O	1	Portuguese
77000139-n	kita	KEEP	None	None	None
00377906-v	lezat	KEEP	None	None	None
01385255-a	sangat besar	KEEP	X	None	None
02561332-v	gunakan	KEEP	X	None	None
01640855-v	menjalankan	KEEP	O	None	None
01392249-a	kecil	KEEP	L	None	None
13911872-n	titik	KEEP	Y	1	English
02614387-v	hidup	KEEP	O	None	None
00021878-r	terkadang	KEEP	Y	None	None
00120223-r	sembari	KEEP	Y	None	None
02140965-v	melayang	KEEP	O	None	None
08431437-n	deretan	KEEP	Y	1	English
01171183-v	mereguk	KEEP	O	None	None
10363913-n	pemula	KEEP	O	1	Spanish
09834699-n	penari balet	KEEP	X	1	Portuguese
10153865-n	gym	KEEP	None	None	None
08186047-n	layanan	KEEP	L	1	English
01073311-a	asin	KEEP	O	None	None
02193765-v	melainkan	KEEP	O	None	None
08366753-n	perekonomian	KEEP	X	1	Spanish
03080492-a	latin	KEEP	None	None	None
14016361-n	letih	KEEP	O	1	Spanish
09308398-n	es	KEEP	O	1	Finnish
00813790-v	menuju	DELETE	O	None	None
00046299-r	super	KEEP	L	None	None
02006834-v	berhasil	DELETE	O	None	None
06947032-n	bahasa inggris	KEEP	None	1	English
00018577-r	sekali	KEEP	O	None	None
90000029-n	esplanade theatre	KEEP	None	None	None
01073822-a	asin	KEEP	O	None	None
02754656-n	atria	KEEP	X	1	Portuguese
90000299-n	Peranakan Chinese	KEEP	None	None	None
00195024-r	selalu	KEEP	O	None	None
01380122-v	memindahkan	DELETE	O	None	None
05128519-n	area	KEEP	None	1	Polish
80000394-n	pilates	KEEP	None	None	None
02111684-a	gabungan	KEEP	Y	None	None
02592111-v	clubbing	KEEP	None	None	None
00359135-n	singkatan	KEEP	O	1	Portuguese
15213115-n	oktober	KEEP	O	1	Slovene
00044353-a	kemungkinan	KEEP	Y	None	None
01694081-a	salah	KEEP	L	None	None
01380122-v	merentangkan	DELETE	O	None	None
02635956-v	menemani ke	DELETE	X	None	None
07324917-n	peningkatan	KEEP	O	1	English
07066659-n	bergaya	KEEP	None	1	Portuguese
02412164-a	tipis	KEEP	O	None	None
05920272-n	tema	KEEP	Y	1	English
76100068-x	orang	KEEP	None	None	None
02151966-v	temukanlah	KEEP	None	None	None
00442361-a	jauh	KEEP	Y	None	None
02685951-v	beralih	DELETE	O	None	None
01131454-a	kejam	KEEP	O	None	None
01824736-v	seperti	DELETE	O	None	None
02686471-v	menemani ke	DELETE	X	None	None
01083373-v	menjahanamkan	DELETE	O	None	None
08884961-n	surrey	KEEP	X	1	English
08594286-n	baris	DELETE	O	1	English
04190052-n	rak	KEEP	Y	1	English
08223802-n	masyarakat	KEEP	O	1	Japanese
07669098-n	suckling pig	KEEP	None	1	Greek
01071423-a	diolah	KEEP	None	None	None
00849357-a	anggun	KEEP	Y	None	None
80000849-n	ronggeng	KEEP	None	None	None
01443097-a	sekilas	KEEP	O	None	None
08050678-n	pemerintah	KEEP	None	1	English
01382086-a	banyak	KEEP	O	None	None
00232862-r	di luar	DELETE	None	None	None
00537682-n	tari rakyat	KEEP	None	None	None
01002740-v	membutuhkan	DELETE	O	None	None
00735389-v	bertahun	KEEP	Y	None	None
01041916-a	resmi	KEEP	O	None	None
00428270-n	dansa	KEEP	O	1	English
01179865-v	memakan	KEEP	O	None	None
14513944-n	lingkungan sekitar	KEEP	X	1	Spanish
11418460-n	keberuntungan	KEEP	O	1	Finnish
05815517-n	bidang	KEEP	O	1	Spanish
13815342-n	berskala	KEEP	O	1	English
07794159-n	udang	KEEP	O	1	Finnish
13850148-n	terakhir	KEEP	O	1	English
00931467-v	berarti	KEEP	O	None	None
08489765-n	tempat lain	KEEP	X	1	English
09917593-n	anak muda	KEEP	O	1	English
06691684-n	pujian	KEEP	O	1	Spanish
07155661-n	dialek	KEEP	Y	1	Portuguese
00196364-v	bakar	KEEP	O	None	None
00054950-r	amat	KEEP	O	None	None
01010862-a	mula-mula	KEEP	X	None	None
00323856-v	tim	KEEP	None	None	None
01172701-v	minum	DELETE	O	None	None
02654894-a	aksial	KEEP	X	None	None
01505254-v	menarik perhatian	KEEP	None	None	None
14038993-n	keinginan	KEEP	O	1	Finnish
02327200-v	makanan	DELETE	Y	None	None
00771632-v	mengiring	DELETE	O	None	None
01104026-a	spesial	KEEP	Y	None	None
01532589-v	membersihkan	KEEP	O	None	None
80000511-n	joget	KEEP	None	None	None
00022131-r	sebegitu	DELETE	O	None	None
07814203-n	kayu manis	KEEP	L	1	Thai
15120346-n	zaman	KEEP	O	1	Portuguese
00101609-a	tidak mementingkan diri sendiri	KEEP	X	None	None
15156001-n	hari ini	KEEP	X	1	English
00763901-a	langsung	KEEP	O	None	None
00899226-a	susah	KEEP	None	None	None
01233156-n	mengunjungi	KEEP	X	1	Greek
11444038-n	siang	KEEP	Y	1	English
06969129-n	bahasa sansekerta	KEEP	None	2	English, Portuguese
00639849-v	mendapat	DELETE	O	None	None
00482298-n	tenis	KEEP	Y	1	Polish
01181741-v	menggerakkan	KEEP	O	None	None
01158181-v	membuang	KEEP	O	None	None
05131023-n	menit	KEEP	None	1	Finnish
01380122-v	membuyarkan	DELETE	O	None	None
08594286-n	garisan	DELETE	None	1	English
01700414-a	rimbun	KEEP	O	None	None
02577734-a	materi	KEEP	None	None	None
02594979-v	mengoperasikan	KEEP	O	None	None
04804451-n	ketidakakuratan	KEEP	None	1	English
02341266-a	yang lebih tinggi	KEEP	X	None	None
11414257-n	hasil	KEEP	O	1	English
80000910-a	konsekuensial	KEEP	None	None	None
02333976-a	hampa	KEEP	O	None	None
07573696-n	santapan	KEEP	O	1	Finnish
07666733-n	daging domba	KEEP	X	1	Finnish
00923793-v	tunjuk	KEEP	X	None	None
80000174-n	bangsawan	KEEP	None	None	None
00112009-r	paling	KEEP	O	None	None
02664769-v	berimbang	DELETE	O	None	None
01981036-v	mendarat	KEEP	O	None	None
05834567-n	inspirasi	KEEP	O	1	Japanese
01169328-v	hirup	KEEP	None	None	None
00217728-a	bagus	KEEP	O	None	None
80001382-x	oh	KEEP	None	None	None
00510644-a	seefisien	KEEP	None	None	None
00900583-v	sambut	KEEP	O	None	None
08568256-n	latar	KEEP	O	1	English
02205272-v	memenangi	DELETE	O	None	None
11164970-n	somerset maugham	KEEP	None	1	English
02343110-a	ulung	KEEP	O	None	None
02492198-v	menghibur	KEEP	O	None	None
15182053-n	malam tahun baru	KEEP	X	1	Japanese
01188725-v	makan	DELETE	O	None	None
08593262-n	jalur	DELETE	O	1	Spanish
00915321-a	tepat	KEEP	O	None	None
00958896-n	pertarungan	KEEP	O	1	Finnish
00301589-a	terhitung	KEEP	L	None	None
01083157-a	penuh dengan	KEEP	X	None	None
02701210-v	membawa	DELETE	O	None	None
05835747-n	berkonsep	KEEP	None	1	English
00648224-v	menjelajahi	KEEP	O	None	None
13264688-n	warisan	KEEP	O	1	English
02053941-v	mendekati	KEEP	Y	None	None
06471737-n	piagam	KEEP	Y	1	English
00043794-r	nya	DELETE	None	None	None
08785343-n	athena	KEEP	X	1	Japanese
09686401-n	eurasi	KEEP	None	1	English
01862386-a	ekskusif	KEEP	None	None	None
01494310-v	letakkan	KEEP	X	None	None
00856651-a	lezat	KEEP	None	None	None
00950592-a	di	DELETE	O	None	None
13790912-n	per	KEEP	None	1	Finnish
00394135-a	warna	KEEP	Y	None	None
15122231-n	masa	KEEP	O	1	Portuguese
01128193-v	lindungi	KEEP	X	None	None
00020759-r	tidak pernah	KEEP	L	None	None
00257269-v	memperluas	KEEP	O	None	None
08588152-n	bahagian dalam	DELETE	X	1	English
07734017-n	tomato	KEEP	None	1	Polish
02472987-n	dunia	KEEP	O	2	English, Spanish
01428578-v	dapat	DELETE	O	None	None
02197505-v	menyapa	KEEP	L	None	None
00069672-r	maupun	KEEP	None	None	None
10077593-n	penggemar	KEEP	Y	1	Spanish
09436708-n	langit	KEEP	Y	1	Finnish
08301871-n	imf	KEEP	None	None	None
03878066-n	istana	KEEP	O	1	Greek
01982395-v	makan	DELETE	O	None	None
02300624-a	terjamu	KEEP	None	None	None
08430568-n	bentuk	DELETE	O	1	Thai
01852666-a	langsung	KEEP	O	None	None
07707451-n	sayur	KEEP	Y	1	English
01826184-v	ingin	KEEP	O	None	None
01156834-v	membutuhkan	DELETE	O	None	None
02388403-v	membina	KEEP	O	None	None
02186665-a	4	KEEP	None	None	None
13947867-n	tempat	KEEP	O	1	English
00227507-a	baik	KEEP	None	None	None
00745499-v	pesan	KEEP	L	None	None
14410605-n	masalah	KEEP	O	1	Spanish
00668805-v	bersetuju	DELETE	Y	None	None
04463510-n	jalan	KEEP	O	1	Spanish
06403393-n	tangan	KEEP	O	1	English
00052374-v	mengenakan	KEEP	O	None	None
01173933-v	makan	DELETE	O	None	None
02302187-a	teratur	KEEP	O	None	None
01157517-v	melemahkan	DELETE	O	None	None
80001276-n	neraka	KEEP	None	None	None
13954253-n	eksistensi	KEEP	O	1	Finnish
02434976-v	mengikuti	KEEP	O	None	None
02213557-a	spontan	KEEP	O	None	None
00885695-a	bersemangat	KEEP	Y	None	None
02236624-v	mengarik	DELETE	O	None	None
01842690-v	berjalan-jalanlah	KEEP	None	None	None
02102398-v	mengendarai	KEEP	O	None	None
04424218-n	barang	KEEP	O	1	English
02427103-v	berdiri	KEEP	L	None	None
00596644-v	pengalaman	KEEP	O	None	None
03116530-n	loket	KEEP	None	1	Polish
02633356-v	terdiri	KEEP	Y	None	None
01002740-v	membuat penggambaran	DELETE	X	None	None
09316454-n	pulau	KEEP	Y	1	Spanish
03093427-n	konsulat	KEEP	O	1	Portuguese
00163441-v	direnovasi	KEEP	X	None	None
08972521-n	new zealand	KEEP	None	1	Arabic
05164845-n	hukuman	KEEP	O	1	English
00897746-v	tanyakan	KEEP	None	None	None
04928903-n	cara	KEEP	O	1	English
05715864-n	sensai	KEEP	None	1	English
03720163-n	peta	KEEP	Y	1	English
08946187-n	ghana	KEEP	None	1	Polish
00262249-n	hiasan	KEEP	O	1	Japanese
01580050-a	perlukan	KEEP	None	None	None
90000448-n	pappadam	KEEP	None	None	None
06892775-n	konser	KEEP	O	1	Spanish
07320302-n	kelahiran	KEEP	O	1	English
03224032-n	pintu	KEEP	O	1	English
00890590-v	pastikan	KEEP	X	None	None
13952171-n	yang benar	KEEP	X	1	English
01380122-v	menyebabkan merebak	DELETE	X	None	None
01028748-v	sebut	KEEP	X	None	None
00409440-a	hitam	KEEP	O	None	None
00406243-v	menyiapkan	KEEP	O	None	None
03786901-n	lumpang	KEEP	None	1	English
02951843-n	tenda	KEEP	O	1	English
01197014-v	menggulingkan	DELETE	O	None	None
07485916-n	selera makanan	KEEP	X	1	English
02327200-v	menyediakan	KEEP	Y	None	None
02774411-a	parlementer	KEEP	O	None	None
00608668-a	alternatif	KEEP	O	None	None
01176232-v	melayani	KEEP	O	None	None
00755745-v	sangka	DELETE	Y	None	None
80001077-n	berapa	KEEP	None	None	None
05699434-n	berkeberatan	KEEP	None	1	English
01636221-v	menggambarkan	KEEP	O	None	None
90000336-n	lomi	KEEP	None	None	None
06279326-n	e-mail	KEEP	X	1	English
07579787-n	sepiring	KEEP	None	1	Spanish
02238085-v	berlaku	DELETE	O	None	None
00270446-r	nama lain	DELETE	X	None	None
00462909-a	pantai	KEEP	O	None	None
02587532-v	memegang erat	DELETE	X	None	None
08644722-n	pedesaan	KEEP	O	1	Spanish
01063695-v	mengajak	KEEP	O	None	None
01003249-v	dipotret	KEEP	X	None	None
08507558-n	sumber	KEEP	Y	1	English
01384730-a	amat besar	KEEP	X	None	None
00343249-n	spin	KEEP	None	1	Portuguese
00327145-v	mengukus	KEEP	O	None	None
05618293-n	bidang	KEEP	O	1	Slovene
12432808-n	bawang	KEEP	O	1	Polish
02657219-v	bersamaan	KEEP	O	None	None
00928371-n	rancangan	KEEP	O	1	English
02610628-v	menutup	KEEP	O	None	None
02965696-a	tibet	KEEP	None	None	None
01737923-v	ulang	KEEP	None	None	None
07376257-n	dentam	KEEP	Y	1	English
07085375-n	penekan	KEEP	Y	1	English
02741546-v	meluwengkan	DELETE	O	None	None
08240169-n	sekelompok	KEEP	X	1	English
01884930-a	aman	KEEP	O	None	None
05129565-n	berjauhan	DELETE	O	1	Finnish
09033117-n	zurich	KEEP	None	1	Japanese
07693972-n	biskuit	KEEP	O	1	Japanese
06497233-n	menu	KEEP	O	None	None
02691156-n	pesawat	KEEP	Y	1	English
90000062-n	little india arcade	KEEP	None	None	None
01618693-v	diperkenalkan	KEEP	None	None	None
00166146-a	cantik	KEEP	O	None	None
13353280-n	kemewahan	KEEP	Y	1	Spanish
02006834-v	menakol	DELETE	O	None	None
02215977-a	multi	KEEP	None	None	None
03471974-n	orang lelaki	DELETE	X	1	English
01000214-v	tercatat	KEEP	L	None	None
07456188-n	kompetisi	KEEP	Y	1	Japanese
06505517-n	salinan	KEEP	O	1	Spanish
00147272-r	begitu	KEEP	O	None	None
07975026-n	acara	KEEP	None	1	Slovene
01380638-v	berkumpul	KEEP	O	None	None
02620587-v	mengarang-ngarang	DELETE	O	None	None
01779165-v	menakutkan	KEEP	Y	None	None
02687916-v	melingkupi	KEEP	O	None	None
07135734-n	perbincangan	KEEP	Y	1	English
08593924-n	garis lurus	DELETE	X	1	Spanish
03670849-n	tali	DELETE	O	1	Spanish
12522493-n	rosewood	KEEP	None	2	English, Greek
02018049-v	naik	KEEP	Y	None	None
05122557-n	kebanyakan	KEEP	O	1	English
02633881-v	ternyata	KEEP	O	None	None
00194924-a	mengerikan	KEEP	O	None	None
13769033-n	sepoci	KEEP	None	1	English
01083373-v	melalap	DELETE	O	None	None
08588152-n	interior	KEEP	None	1	English
11669335-n	bunga	KEEP	O	1	English
10058411-n	penikmat	KEEP	None	None	None
00120796-v	mengantongi	DELETE	O	None	None
15137890-n	libur	KEEP	Y	1	English
06802571-n	bunga-bunga	DELETE	X	1	English
02359464-a	yang mengejutkan	KEEP	X	None	None
02280969-a	semarak	KEEP	None	None	None
02771485-a	mulut	KEEP	O	None	None
14485064-n	kesempatan	KEEP	O	1	Spanish
05193338-n	warna	KEEP	X	1	English
01120448-n	pembayaran	KEEP	Y	1	Slovene
80000923-a	feeder	KEEP	None	None	None
15228378-n	10	KEEP	None	1	Finnish
07327805-n	unsur	KEEP	Y	2	English, Spanish
01982395-v	menyontok	DELETE	O	None	None
